Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Revenue,,3366000000,4342000000,2905000000,3320000000,4123000000,2391000000,3815000000,2694000000,4122000000,3881000000
Taxation revenue,Revenue,1031000000,1296000000,929000000,1015000000,1183000000,721000000,1128000000,794000000,1237000000,1244000000
Current grants and subsidies,Revenue,1274000000,1750000000,1168000000,1351000000,1482000000,1076000000,1506000000,1118000000,1653000000,1430000000
Sales of goods and services,Revenue,349000000,475000000,321000000,377000000,451000000,264000000,413000000,298000000,457000000,428000000
Interest income,Revenue,121000000,141000000,117000000,122000000,172000000,86000000,125000000,111000000,155000000,180000000
Other revenue,Revenue,591000000,679000000,370000000,455000000,835000000,243000000,643000000,373000000,619000000,599000000
