Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Revenue,,37342000000,52644000000,35828000000,39207000000,47359000000,29826000000,44537000000,31957000000,48672000000,46042000000
Taxation revenue,Revenue,12863000000,16992000000,11702000000,12643000000,15136000000,10415000000,13771000000,10885000000,15629000000,14903000000
Current grants and subsidies,Revenue,15995000000,21914000000,14664000000,18018000000,20207000000,12888000000,21584000000,13929000000,20672000000,21336000000
Sales of goods and services,Revenue,4489000000,6920000000,4177000000,4941000000,6267000000,3380000000,5289000000,3731000000,6869000000,5944000000
Interest income,Revenue,452000000,809000000,423000000,377000000,413000000,341000000,333000000,376000000,677000000,420000000
Other revenue,Revenue,3543000000,6009000000,4862000000,3230000000,5337000000,2803000000,3559000000,3035000000,4825000000,3439000000
