Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Liabilities,,52447000000,111104000000,48626000000,69575000000,102921000000,46299000000,77102000000,56518000000,98827000000,82002000000
Deposits held,Liabilities,810000000,1263000000,788000000,870000000,2208000000,662000000,923000000,726000000,2105000000,2288000000
Advances received,Liabilities,864000000,1213000000,892000000,1362000000,1218000000,1641000000,1316000000,920000000,1168000000,1254000000
Borrowing,Liabilities,13488000000,31018000000,13060000000,16579000000,26862000000,11774000000,19049000000,12404000000,29036000000,22506000000
Unfunded superannuation liability and other employee entitlements,Liabilities,26064000000,62145000000,22458000000,38987000000,59449000000,23680000000,43264000000,30914000000,52861000000,43509000000
Other provisions,Liabilities,5149000000,8175000000,5211000000,5683000000,6626000000,5692000000,5869000000,5315000000,7423000000,6188000000
Other non-equity liabilities,Liabilities,6072000000,7290000000,6217000000,6095000000,6559000000,2849000000,6681000000,6239000000,6234000000,6256000000
