Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Liabilities,,37180000000,78119000000,30960000000,43490000000,71585000000,22557000000,50694000000,27447000000,75198000000,61311000000
Deposits held,Liabilities,4000000,1000000,0,4000000,1000000,0,0,1000000,0,1000000
Advances received,Liabilities,501000000,554000000,505000000,455000000,425000000,486000000,463000000,472000000,463000000,444000000
Borrowing,Liabilities,6328000000,41403000000,2266000000,10307000000,29513000000,2701000000,15916000000,2084000000,37878000000,25089000000
Unfunded superannuation liability and other employee entitlements,Liabilities,25726000000,30488000000,23524000000,27625000000,35721000000,15183000000,28863000000,19761000000,30948000000,29860000000
Other provisions,Liabilities,985000000,1649000000,988000000,941000000,1448000000,1056000000,1140000000,1353000000,1377000000,1276000000
Other non-equity liabilities,Liabilities,3636000000,4024000000,3677000000,4158000000,4477000000,3131000000,4311000000,3776000000,4532000000,4640000000
