Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Liabilities,,15503000000,23735000000,11203000000,16904000000,23512000000,13062000000,18820000000,12134000000,22229000000,20225000000
Deposits held,Liabilities,2129000000,356000000,331000000,335000000,397000000,283000000,387000000,282000000,392000000,354000000
Advances received,Liabilities,751000000,214000000,659000000,628000000,590000000,686000000,610000000,682000000,232000000,592000000
Borrowing,Liabilities,2454000000,7947000000,2394000000,3500000000,4870000000,2265000000,4573000000,2209000000,6142000000,6522000000
Unfunded superannuation liability and other employee entitlements,Liabilities,8463000000,13754000000,6896000000,11165000000,16318000000,8825000000,11763000000,7847000000,13933000000,11472000000
Other provisions,Liabilities,83000000,94000000,0,106000000,100000000,1000000,98000000,0,97000000,96000000
Other non-equity liabilities,Liabilities,1623000000,1371000000,923000000,1171000000,1237000000,1002000000,1389000000,1113000000,1432000000,1189000000
