Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Revenue,,3986000000,4910000000,3695000000,4286000000,4691000000,3385000000,4602000000,3577000000,4717000000,4768000000
Taxation revenue,Revenue,830000000,957000000,748000000,804000000,888000000,692000000,873000000,709000000,925000000,860000000
Current grants and subsidies,Revenue,2352000000,2855000000,2209000000,2543000000,2792000000,1999000000,2537000000,2125000000,2815000000,2573000000
Sales of goods and services,Revenue,293000000,472000000,319000000,365000000,408000000,248000000,351000000,299000000,414000000,362000000
Interest income,Revenue,74000000,13000000,43000000,68000000,27000000,44000000,45000000,33000000,21000000,40000000
Other revenue,Revenue,438000000,613000000,377000000,506000000,575000000,401000000,797000000,412000000,542000000,933000000
