Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Liabilities,,29125000000,70908000000,25581000000,40903000000,65911000000,23772000000,46600000000,26854000000,68857000000,51171000000
Deposits held,Liabilities,372000000,426000000,588000000,314000000,366000000,442000000,477000000,520000000,449000000,427000000
Advances received,Liabilities,35000000,50000000,4000000,42000000,50000000,5000000,2000000,4000000,50000000,49000000
Borrowing,Liabilities,7799000000,32954000000,7190000000,10641000000,22394000000,5524000000,13613000000,6175000000,31345000000,17735000000
Unfunded superannuation liability and other employee entitlements,Liabilities,16900000000,30983000000,13759000000,24949000000,37641000000,13695000000,26894000000,16326000000,30351000000,27300000000
Other provisions,Liabilities,665000000,631000000,761000000,784000000,635000000,755000000,718000000,741000000,603000000,705000000
Other non-equity liabilities,Liabilities,3354000000,5864000000,3280000000,4172000000,4824000000,3351000000,4896000000,3088000000,6058000000,4956000000
