Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Revenue,,12879000000,15365000000,11723000000,13533000000,15920000000,10592000000,15543000000,11028000000,15021000000,15029000000
Taxation revenue,Revenue,3570000000,4107000000,3217000000,3541000000,3869000000,2940000000,3660000000,2979000000,4112000000,3843000000
Current grants and subsidies,Revenue,6157000000,7630000000,5688000000,6651000000,7465000000,5088000000,7039000000,5454000000,7351000000,7107000000
Sales of goods and services,Revenue,1572000000,2265000000,1464000000,1697000000,2015000000,1243000000,1936000000,1369000000,2115000000,1879000000
Interest income,Revenue,203000000,50000000,167000000,150000000,185000000,161000000,138000000,147000000,144000000,168000000
Other revenue,Revenue,1378000000,1314000000,1187000000,1495000000,2386000000,1159000000,2770000000,1078000000,1299000000,2031000000
