Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Revenue,,3869000000,5151000000,3289000000,4187000000,4906000000,2713000000,4652000000,3002000000,4787000000,4722000000
Taxation revenue,Revenue,395000000,566000000,368000000,405000000,403000000,301000000,415000000,377000000,491000000,397000000
Current grants and subsidies,Revenue,2752000000,3638000000,2450000000,3112000000,3498000000,2069000000,3312000000,2249000000,3599000000,3251000000
Sales of goods and services,Revenue,169000000,307000000,148000000,168000000,214000000,104000000,185000000,113000000,254000000,205000000
Interest income,Revenue,106000000,76000000,48000000,79000000,68000000,19000000,65000000,21000000,58000000,80000000
Other revenue,Revenue,448000000,564000000,274000000,424000000,724000000,221000000,675000000,243000000,386000000,789000000
