Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Liabilities,,4878000000,8835000000,4787000000,5094000000,7857000000,3794000000,5668000000,4112000000,8114000000,5884000000
Deposits held,Liabilities,208000000,792000000,161000000,193000000,804000000,88000000,442000000,215000000,665000000,291000000
Advances received,Liabilities,240000000,339000000,295000000,252000000,269000000,23000000,243000000,8000000,378000000,246000000
Borrowing,Liabilities,1757000000,3079000000,1746000000,1614000000,2143000000,1638000000,1612000000,1652000000,2700000000,1821000000
Unfunded superannuation liability and other employee entitlements,Liabilities,2501000000,4357000000,2472000000,2864000000,4408000000,1956000000,3172000000,2135000000,4157000000,3286000000
Other provisions,Liabilities,32000000,50000000,15000000,40000000,54000000,17000000,45000000,15000000,45000000,46000000
Other non-equity liabilities,Liabilities,140000000,217000000,98000000,132000000,180000000,72000000,153000000,87000000,168000000,194000000
