Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Revenue,,31493000000,46734000000,32052000000,37055000000,45802000000,27632000000,39739000000,30149000000,41749000000,41969000000
Taxation revenue,Revenue,9609000000,11846000000,8555000000,8923000000,10616000000,6980000000,9385000000,7462000000,10960000000,9987000000
Current grants and subsidies,Revenue,14531000000,19124000000,13535000000,15272000000,17213000000,11761000000,15866000000,12948000000,17440000000,16374000000
Sales of goods and services,Revenue,3343000000,5048000000,2898000000,3568000000,4996000000,2376000000,3962000000,2586000000,5087000000,4172000000
Interest income,Revenue,0,2460000000,3348000000,1482000000,2484000000,2972000000,2205000000,3414000000,2603000000,2365000000
Other revenue,Revenue,4286000000,8257000000,3715000000,7810000000,10493000000,3542000000,8322000000,3739000000,5659000000,9071000000
