Item,Parent,2011-12,2012-13,2013-14,2010-11
Financial Reporting ,"Budget, Financial Management, Better Regulation and Procurement Framework",0,20000000,12000000,0
Budget Advice,"Budget, Financial Management, Better Regulation and Procurement Framework",0,56000000,56000000,0
Treasury & Related Departments,Expenses,0,114804000000,117292000000,0
Royal Australian Mint,Treasury & Related Departments,0,151000000,152000000,0
Productivity Commission,Treasury & Related Departments,0,38000000,38000000,0
Office of the Australian Accounting Standards Board,Treasury & Related Departments,0,4000000,4000000,0
Office of the Auditing & Assurance Standards Board,Treasury & Related Departments,0,2000000,2000000,0
National Competition Council,Treasury & Related Departments,0,2000000,2000000,0
Inspector General of Taxation,Treasury & Related Departments,0,2000000,2000000,0
Corporations and Markets Advisory Committee,Treasury & Related Departments,0,1000000,1000000,0
Commonwealth Grants Commission,Treasury & Related Departments,0,6000000,6000000,0
Clean Energy Finance Corporation,Treasury & Related Departments,0,8000000,338000000,0
Australian Taxation Office,Treasury & Related Departments,0,19798000000,20529000000,0
Other Administered,Australian Taxation Office,0,60000000,35000000,0
Baby Bonus Tax Offset,Australian Taxation Office,0,1000000,0,0
Low Income Superannuation Contribution (LISC),Australian Taxation Office,0,954000000,975000000,0
Bad and Doubtful Debts and Remissions,Australian Taxation Office,0,6782000000,6985000000,0
Interest on Overpayments and Early Payments,Australian Taxation Office,0,500000000,500000000,0
First Home Saver Accounts,Australian Taxation Office,0,17000000,19000000,0
National Rental Affordability Scheme,Australian Taxation Office,0,33000000,130000000,0
Fuel Tax Credits Scheme,Australian Taxation Office,0,5519000000,5871000000,0
Superannuation Guarantee Scheme,Australian Taxation Office,0,328000000,339000000,0
Superannuation Co-contribution Scheme,Australian Taxation Office,0,83000000,138000000,0
Private Health Insurance Rebate,Australian Taxation Office,0,206000000,191000000,0
Research and Development Tax Incentive,Australian Taxation Office,0,1471000000,1410000000,0
Australian Screen Production Incentive,Australian Taxation Office,0,267000000,237000000,0
Cleaner Fuels Grant Scheme,Australian Taxation Office,0,40000000,43000000,0
Product Stewardship for Oil,Australian Taxation Office,0,35000000,47000000,0
Australian Charities and Not-for-profits Commission,Australian Taxation Office,0,14000000,15000000,0
Australian Valuation Office,Australian Taxation Office,0,34000000,32000000,0
Australian Business Register,Australian Taxation Office,0,162000000,176000000,0
Tax Practitioners Board,Australian Taxation Office,0,16000000,14000000,0
Australian Taxation Office,Australian Taxation Office,0,3273000000,3368000000,0
Australian Security and Investments Commission,Treasury & Related Departments,0,525000000,506000000,0
Administration of unclaimed money,Australian Security and Investments Commission,0,70000000,55000000,0
Department expenses,Australian Security and Investments Commission,0,454000000,450000000,0
Australian Prudential Regulation Authority,Treasury & Related Departments,0,117000000,124000000,0
Australian Bureau of Statistics,Treasury & Related Departments,0,423000000,388000000,0
Australian Office of Financial Management,Treasury & Related Departments,0,12219000000,12468000000,0
Department expenses,Australian Office of Financial Management,0,10000000,12000000,0
Servicing Australia's Debt,Australian Office of Financial Management,0,12209000000,12456000000,0
Australian Competition and Consumer Commission,Treasury & Related Departments,0,166000000,122000000,0
Payments to States,Treasury & Related Departments,0,81022000000,82395000000,0
National Partnership Payments to the States,Payments to States,0,10966000000,11079000000,0
Assistance to the States for Affordable Housing,Payments to States,0,1263000000,1282000000,0
Assistance to the States for Disabilities Services,Payments to States,0,1244000000,1237000000,0
Assistance to the States for Skills and Workforce Development,Payments to States,0,1387000000,1408000000,0
Assistance to the States for Government Schools,Payments to States,0,3944000000,2112000000,0
Assistance to the States for Healthcare Services,Payments to States,0,13280000000,14040000000,0
General Revenue Assistance,Payments to States,0,48935000000,51233000000,0
Support for Markets and Business,Treasury & Related Departments,0,22000000,24000000,0
Payments to International Financial Institutions,Treasury & Related Departments,0,18000000,3000000,0
Department of the Treasury,Treasury & Related Departments,0,271000000,178000000,0
