Item,Parent,2011-12,2012-13,2013-14,2010-11
Workers Compensation Payments,"Safer, fairer and more productive workplaces ",0,72000000,72000000,0
Workers Compensation Payments,Workers Compensation Payments,0,45000000,42000000,0
Asbestos Compensation Payments,Workers Compensation Payments,0,20000000,23000000,0
Comcare payments,Workers Compensation Payments,0,6000000,6000000,0
Workplace Assistance,"Safer, fairer and more productive workplaces ",0,13000000,16000000,0
Social and Community Workers Education and Information Program,Workplace Assistance,0,0,0,0
Award Modernisation,Workplace Assistance,0,1000000,3000000,0
Centre for Workplace Leadership,Workplace Assistance,0,1000000,3000000,0
International Labour Organisation Subscription,Workplace Assistance,0,8000000,8000000,0
Protected Action Ballots Scheme,Workplace Assistance,0,1000000,1000000,0
Employee Assistance,"Safer, fairer and more productive workplaces ",0,473000000,377000000,0
Fair Entitlements Guarantee Act 2012,Employee Assistance,0,55000000,192000000,0
Coal Mining Industry Commission,Employee Assistance,0,169000000,172000000,0
General Employee Entitlements and Redundancy Scheme,Employee Assistance,0,248000000,12000000,0
Employment & Training services,"Education, Employment & Workplace Relations",0,17048000000,17970000000,0
Working Age Payments,Employment & Training services,0,14789000000,15464000000,0
Youth Allowance (Other),Working Age Payments,0,836000000,1074000000,0
Widow Allowance,Working Age Payments,0,373000000,351000000,0
Utilities Allowance,Working Age Payments,0,18000000,18000000,0
Sickness Allowance,Working Age Payments,0,97000000,99000000,0
Pensioner Education Supplement,Working Age Payments,0,81000000,80000000,0
Partner Allowance Pension,Working Age Payments,0,118000000,68000000,0
Partner Allowance Benefit,Working Age Payments,0,12000000,5000000,0
Parenting Payment Partnered,Working Age Payments,0,1004000000,981000000,0
Parenting Payment Single,Working Age Payments,0,4488000000,4245000000,0
New start Allowance,Working Age Payments,0,7609000000,8385000000,0
Mobility Allowance,Working Age Payments,0,147000000,150000000,0
Compensation and Debt Relief,Working Age Payments,0,0,0,0
Remote Jobs and Communities Program,Employment & Training services,0,0,213000000,0
Remote Youth Leadership and Development Corp,Remote Jobs and Communities Program,0,0,7000000,0
Remote Participation and Employment Services,Remote Jobs and Communities Program,0,0,206000000,0
Disability Employment Services,Employment & Training services,0,788000000,776000000,0
Employment Assistance and Other Services,Disability Employment Services,0,37000000,35000000,0
Disability Employment Services,Disability Employment Services,0,750000000,741000000,0
