Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Revenue,,303678000000,375215000000,278200000000,298646000000,339080000000,242183000000,292648000000,260968000000,361755000000,309982000000
Taxation revenue,Revenue,285949000000,351522000000,262086000000,278361000000,317541000000,229214000000,267678000000,245294000000,338287000000,289120000000
Current grants and subsidies,Revenue,0,0,0,0,0,0,0,0,0,0
Sales of goods and services,Revenue,5820000000,9431000000,5590000000,6863000000,8831000000,4883000000,8369000000,5099000000,8930000000,8377000000
Interest from public non-financial corporations,Revenue,0,18000000,0,81000000,0,0,0,0,20000000,0
Interest from public financial corporations,Revenue,2108000000,657000000,3074000000,1063000000,683000000,867000000,727000000,1416000000,557000000,568000000
Interest from other,Revenue,3215000000,2519000000,992000000,3594000000,3483000000,897000000,3222000000,1235000000,2906000000,4141000000
Dividend income,Revenue,2848000000,4105000000,2999000000,3475000000,2662000000,3176000000,7658000000,4387000000,3079000000,2359000000
Other revenue,Revenue,3738000000,6963000000,3458000000,5209000000,5879000000,3145000000,4993000000,3537000000,7976000000,5417000000
