Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Revenue,,49398000000,68943000000,47285000000,53185000000,62408000000,41478000000,59999000000,44123000000,63462000000,60562000000
Taxation revenue,Revenue,18675000000,24362000000,17854000000,17954000000,20731000000,15404000000,19280000000,16057000000,22054000000,20549000000
Current grants and subsidies,Revenue,21432000000,29631000000,19416000000,23169000000,27064000000,17659000000,25707000000,18744000000,27545000000,25926000000
Sales of goods and services,Revenue,3867000000,5714000000,3527000000,4330000000,5241000000,3122000000,4412000000,3339000000,5698000000,4810000000
Interest income,Revenue,-172000000,588000000,1314000000,416000000,530000000,1050000000,316000000,1298000000,387000000,468000000
Other revenue,Revenue,5597000000,8647000000,5175000000,7316000000,8842000000,4243000000,10285000000,4684000000,7778000000,8809000000
