Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Liabilities,,5070000000,11965000000,4623000000,6280000000,11000000000,4031000000,7196000000,4480000000,10872000000,7712000000
Deposits held,Liabilities,110000000,131000000,58000000,55000000,120000000,23000000,160000000,74000000,139000000,162000000
Advances received,Liabilities,217000000,83000000,229000000,210000000,179000000,251000000,193000000,240000000,86000000,188000000
Borrowing,Liabilities,883000000,3108000000,688000000,956000000,1985000000,667000000,1155000000,699000000,2767000000,1443000000
Unfunded superannuation liability and other employee entitlements,Liabilities,3414000000,8094000000,3268000000,4449000000,8019000000,2789000000,5030000000,3156000000,7333000000,5316000000
Other provisions,Liabilities,57000000,17000000,28000000,36000000,19000000,8000000,46000000,28000000,17000000,25000000
Other non-equity liabilities,Liabilities,389000000,532000000,352000000,573000000,678000000,293000000,612000000,283000000,530000000,577000000
