Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Liabilities,,209423000000,659140000000,214214000000,294231000000,586125000000,202428000000,369493000000,209684000000,570753000000,422312000000
Deposits held,Liabilities,3179000000,3956000000,2919000000,3748000000,3701000000,2771000000,3523000000,2836000000,3786000000,3614000000
Advances received,Liabilities,0,0,0,0,0,0,0,0,0,0
Borrowing,Liabilities,66901000000,363195000000,64413000000,114733000000,279898000000,69977000000,171375000000,65922000000,300464000000,212305000000
Unfunded superannuation liability and other employee entitlements,Liabilities,109017000000,237677000000,111144000000,134239000000,249889000000,99350000000,151441000000,105999000000,208111000000,156675000000
Other provisions,Liabilities,7888000000,14237000000,7111000000,11878000000,13931000000,4314000000,13262000000,6421000000,14380000000,12446000000
Other non-equity liabilities,Liabilities,22438000000,40074000000,28627000000,29633000000,38706000000,26017000000,29892000000,28505000000,44010000000,37272000000
