Item,Parent,2008-09,2011-12,2009-10,2010-11
Revenue,,49594800000,56699799999,51694300000,54142900000
Australian Food and Liquor,Revenue,32977199999,37549200000,34675400000,36176100000
Supermarkets NZ,Revenue,4034300000,4301800000,4130600000,4110500000
Petrol,Revenue,5482100000,6714200000,5481000000,6025300000
BIG W,Revenue,4267300000,4179600000,4193100000,4158300000
Consumer Electronics,Revenue,1723600000,1570000000,1782400000,1855500000
Hotels,Revenue,1110300000,1204000000,1102000000,1153100000
Unallocated,Revenue,0,1181000000,329800000,664100000
