Item,Parent,2011-12,2009-10,2010-11
Revenue,,50967000000,55171000000,60537000000
Iron Ore,Revenue,24279000000,23582000000,29475000000
Aluminium,Revenue,10105000000,11313000000,12159000000
Copper,Revenue,6661000000,7797000000,7634000000
Energy,Revenue,5783000000,5446000000,7003000000
Diamonds & Minerals,Revenue,4056000000,3477000000,3654000000
Other ,Revenue,2081000000,3556000000,612000000
