Item,Parent,2008-09,2011-12,2009-10,2010-11
Expenses,,21544000000,22079000000,21093000000,22055000000
Labour Expenses,Expenses,4131000000,4061000000,3707000000,3924000000
Goods and services purchased,Expenses,5313000000,6179000000,5360000000,6183000000
Other,Expenses,5228000000,5029000000,5119000000,5047000000
Depreciation and amortisation,Expenses,4390000000,4412000000,4346000000,4459000000
Net Finance costs,Expenses,900000000,888000000,963000000,1135000000
Taxation,Expenses,1582000000,1510000000,1598000000,1307000000
