Item,Parent,2008-09,2011-12,2009-10,2010-11
Expenses,,47734800000,52946400000,49656299999,52002599999
Cost of Goods Sold,Expenses,36871400000,40653500000,38300700000,40049700000
"Selling, General and Admin expenses",Expenses,7768800000,8680800000,8035900000,8417700000
Rent,Expenses,1409700000,1559700000,1477900000,1541200000
Depreciation and amortisation,Expenses,729400000,883700000,797700000,857900000
Net financing cost,Expenses,149900000,244400000,181500000,225300000
Woolworths Notes Interest,Expenses,39300000,39300000,30000000,36200000
Taxation,Expenses,766300000,885000000,832600000,874600000
