Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Revenue,,19282000000,27685000000,17451000000,19400000000,25094000000,14222000000,21914000000,16207000000,25469000000,23669000000
Taxation revenue,Revenue,6360000000,8594000000,5736000000,5521000000,7125000000,4328000000,6254000000,5210000000,8170000000,6610000000
Current grants and subsidies,Revenue,7800000000,8199000000,7234000000,8089000000,8678000000,6540000000,8228000000,6966000000,8316000000,8003000000
Sales of goods and services,Revenue,1378000000,2078000000,1211000000,1387000000,1856000000,968000000,1587000000,1100000000,2011000000,1683000000
Interest income,Revenue,332000000,194000000,246000000,285000000,304000000,142000000,227000000,170000000,254000000,321000000
Other revenue,Revenue,3411000000,8620000000,3023000000,4117000000,7132000000,2245000000,5619000000,2761000000,6718000000,7051000000
