year,category,amount
2009,Non-Current Assets,17084900000
2012,Non-Current Assets,21581100000
2010,Non-Current Assets,18487300000
2011,Non-Current Assets,20828399999
2009,Current Assets,17084900000
2012,Current Assets,21581100000
2010,Current Assets,18487300000
2011,Current Assets,20828399999
