year,category,amount
2009,Current Assets,39962000000
2012,Current Assets,39525000000
2010,Current Assets,39282000000
2011,Current Assets,37913000000
2009,Non Current Assets,39962000000
2012,Non Current Assets,39525000000
2010,Non Current Assets,39282000000
2011,Non Current Assets,37913000000
