year,category,amount
2009,Current ,27281000000
2012,Current ,27836000000
2010,Current ,26274000000
2011,Current ,25621000000
2009,Non-Current,27281000000
2012,Non-Current,27836000000
2010,Non-Current,26274000000
2011,Non-Current,25621000000
