year,category,amount
2012,Provisions and payables,579619000000
2013,Provisions and payables,513580000000
2014,Provisions and payables,550059000000
2011,Provisions and payables,415756000000
2012,Interest bearing liabilites,579619000000
2013,Interest bearing liabilites,513580000000
2014,Interest bearing liabilites,550059000000
2011,Interest bearing liabilites,415756000000
